sample_id,image_path,split,strip_id,batch_id,h2s_concentration_ppm,exposure_duration_min,cumulative_dose_ppm_hr,risk_band,label_source,source_citation,mapping_method,is_lab_validated,temperature_c,humidity_pct,lighting_type,distance_cm,device_model,flash_used,baseline_image_path,reference_patch_present,reference_patch_rgb_measured,reference_patch_rgb_known,corrected_strip_rgb,reference_patch_delta_e,lighting_uniformity_ok,quality_ok,protocol_version,notes
H2S-2026-0011,images/train/H2S-2026-0011_0ppm_baseline_dim_indoor.png,train,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.5,51.5,dim_indoor,20.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(172, 147, 133), (111, 102, 84), (128, 89, 48), (32, 16, 16)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(249, 241, 208)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0012,images/train/H2S-2026-0012_0ppm_baseline_dim_indoor.png,train,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.2,58.1,dim_indoor,15.0,Samsung_A54,False,baselines/baseline_dim_indoor.png,True,"[(177, 154, 128), (111, 94, 87), (129, 83, 48), (27, 17, 17)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(242, 230, 216)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0013,images/train/H2S-2026-0013_5ppm_daylight.png,train,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.0,44.8,daylight,10.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(255, 252, 251), (197, 183, 166), (216, 162, 100), (51, 38, 26)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(245, 237, 195)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0014,images/test/H2S-2026-0014_5ppm_daylight.png,test,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.5,56.3,daylight,20.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(255, 255, 255), (197, 190, 167), (216, 164, 97), (44, 39, 23)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(245, 235, 192)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0015,images/train/H2S-2026-0015_5ppm_daylight.png,train,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.3,51.7,daylight,15.0,Samsung_A54,False,baselines/baseline_daylight.png,True,"[(255, 252, 253), (190, 184, 168), (219, 161, 97), (44, 32, 29)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(245, 238, 192)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0016,images/train/H2S-2026-0016_5ppm_LED.png,train,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,24.4,57.0,LED,10.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(240, 247, 253), (156, 163, 168), (173, 136, 100), (36, 27, 31)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(218, 207, 189)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0017,images/train/H2S-2026-0017_5ppm_LED.png,train,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.4,40.3,LED,20.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(238, 248, 255), (156, 164, 163), (180, 140, 94), (37, 30, 24)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(220, 206, 189)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0018,images/train/H2S-2026-0018_5ppm_LED.png,train,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.8,45.7,LED,15.0,Samsung_A54,False,baselines/baseline_LED.png,True,"[(240, 249, 255), (156, 156, 164), (178, 140, 93), (35, 31, 25)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(219, 205, 189)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0019,images/holdout/H2S-2026-0019_5ppm_fluorescent.png,holdout,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,24.3,57.5,fluorescent,10.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(198, 228, 234), (130, 155, 149), (150, 136, 87), (35, 26, 20)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(223, 212, 190)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0020,images/holdout/H2S-2026-0020_5ppm_fluorescent.png,holdout,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.1,51.7,fluorescent,20.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(201, 230, 234), (133, 155, 155), (147, 131, 87), (31, 30, 20)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(220, 209, 190)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0021,images/holdout/H2S-2026-0021_5ppm_fluorescent.png,holdout,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.3,45.0,fluorescent,15.0,Samsung_A54,False,baselines/baseline_fluorescent.png,True,"[(201, 231, 235), (129, 153, 149), (152, 131, 88), (36, 29, 24)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(220, 208, 189)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0022,images/train/H2S-2026-0022_5ppm_dim_indoor.png,train,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.9,45.9,dim_indoor,10.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(172, 151, 133), (118, 100, 89), (129, 82, 46), (28, 16, 13)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(222, 209, 186)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0023,images/test/H2S-2026-0023_5ppm_dim_indoor.png,test,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.6,56.2,dim_indoor,20.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(172, 153, 131), (114, 94, 87), (124, 90, 53), (27, 19, 15)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(222, 206, 188)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0024,images/validation/H2S-2026-0024_5ppm_dim_indoor.png,validation,STRIP-BATCHA-5ppm,BATCH-SYNTH-001,5.0,15.0,1.25,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.5,48.7,dim_indoor,15.0,Samsung_A54,False,baselines/baseline_dim_indoor.png,True,"[(175, 155, 132), (116, 99, 87), (128, 90, 47), (27, 20, 15)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(218, 203, 186)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0025,images/train/H2S-2026-0025_10ppm_daylight.png,train,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.5,58.8,daylight,10.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(255, 254, 255), (194, 190, 172), (220, 163, 102), (51, 33, 24)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(234, 218, 178)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0026,images/train/H2S-2026-0026_10ppm_daylight.png,train,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.7,52.2,daylight,20.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(255, 254, 254), (191, 183, 165), (216, 167, 95), (51, 37, 26)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(234, 218, 178)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
